,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
"3288,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,1, ,D4,""205 THIRD AVENUE, 7T"", ,10003,0,0,0, -  , -  ,1964,2,D4, -  ,2017-01-27 00:00:00"
"3289,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,1, ,D4,""205 THIRD AVENUE, 6D"", ,10003,0,0,0, -  , -  ,1964,2,D4,680000,2017-03-27 00:00:00"
"3290,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,1, ,D4,""205 THIRD AVENUE, 5D"", ,10003,0,0,0, -  , -  ,1964,2,D4,835000,2017-04-12 00:00:00"
"3291,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,1, ,D4,""205 THIRD AVENUE, 5K"", ,10003,0,0,0, -  , -  ,1964,2,D4,985000,2017-06-08 00:00:00"
3292,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,8, ,D4,211 E 18, ,10003,0,0,0, -  , -  ,1958,2,D4,610000,2016-10-06 00:00:00
"3293,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,8, ,D4,""211 EAST 18TH STREET, 4D"", ,10003,0,0,0, -  , -  ,1958,2,D4,411000,2016-11-07 00:00:00"
"3294,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,8, ,D4,""211 EAST 18TH STREET, 3T"", ,10003,0,0,0, -  , -  ,1958,2,D4,1100500,2017-01-05 00:00:00"
"3295,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,8, ,D4,""211 EAST 18TH STREET, 4H"", ,10003,0,0,0, -  , -  ,1958,2,D4,1150000,2017-05-19 00:00:00"
"3296,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,8, ,D4,""211 EAST 18TH STREET, 2W"", ,10003,0,0,0, -  , -  ,1958,2,D4,770000,2017-07-21 00:00:00"
"3297,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,32, ,D4,""242 EAST 19TH STREET, 11A"", ,10003,0,0,0, -  , -  ,1929,2,D4,1765094,2016-11-22 00:00:00"
"3298,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,32, ,D4,""242 EAST 19TH STREET, 4H"", ,10003,0,0,0, -  , -  ,1929,2,D4,885000,2017-06-15 00:00:00"
"3299,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,899,32, ,D4,""242 EAST 19TH, 4B"", ,10003,0,0,0, -  , -  ,1929,2,D4,1460000,2017-07-10 00:00:00"
"3300,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,901,52, ,D4,""210 EAST 21ST STREET, 4D"", ,10010,0,0,0, -  , -  ,1910,2,D4,325000,2016-11-04 00:00:00"
"3301,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,901,52, ,D4,""210 EAST 21ST STREET, 6A"", ,10010,0,0,0, -  , -  ,1910,2,D4,440000,2017-08-22 00:00:00"
"3302,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 19C"", ,10010,0,0,0, -  , -  ,1962,2,D4,1068000,2016-10-21 00:00:00"
"3303,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 11F"", ,10010,0,0,0, -  , -  ,1962,2,D4,825000,2016-11-18 00:00:00"
"3304,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21 STREET, 5A"", ,10010,0,0,0, -  , -  ,1962,2,D4,875000,2016-12-12 00:00:00"
"3305,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21 STREET, 10B"", ,10010,0,0,0, -  , -  ,1962,2,D4,1090000,2016-12-20 00:00:00"
"3306,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 9A"", ,10010,0,0,0, -  , -  ,1962,2,D4,750000,2017-02-10 00:00:00"
"3307,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 20K"", ,10010,0,0,0, -  , -  ,1962,2,D4,1040000,2017-03-31 00:00:00"
"3308,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 9C"", ,10010,0,0,0, -  , -  ,1962,2,D4,1045000,2017-03-02 00:00:00"
"3309,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 18H"", ,10010,0,0,0, -  , -  ,1962,2,D4,653000,2017-05-05 00:00:00"
"3310,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 7D"", ,10010,0,0,0, -  , -  ,1962,2,D4,782500,2017-05-25 00:00:00"
"3311,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 4L"", ,10010,0,0,0, -  , -  ,1962,2,D4,550000,2017-06-02 00:00:00"
"3312,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 18H"", ,10010,0,0,0, -  , -  ,1962,2,D4,31028,2017-06-20 00:00:00"
"3313,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 16C"", ,10010,0,0,0, -  , -  ,1962,2,D4,1295000,2017-07-10 00:00:00"
"3314,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 4M"", ,10010,0,0,0, -  , -  ,1962,2,D4,675000,2017-06-28 00:00:00"
"3315,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 11N"", ,10010,0,0,0, -  , -  ,1962,2,D4,1429900,2017-07-18 00:00:00"
"3316,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST STREET, 3C"", ,10010,0,0,0, -  , -  ,1962,2,D4, -  ,2017-07-13 00:00:00"
"3317,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21ST. STREET, 19DE"", ,10010,0,0,0, -  , -  ,1962,2,D4,2430000,2017-08-01 00:00:00"
"3318,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,1, ,D4,""201 EAST 21 STREET, 5J"", ,10010,0,0,0, -  , -  ,1962,2,D4,665000,2017-08-22 00:00:00"
"3319,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,9, ,D4,""207 EAST 21ST STREET, 5D"", ,10010,0,0,0, -  , -  ,1930,2,D4,750000,2016-10-11 00:00:00"
"3320,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,9, ,D4,""207 EAST 21ST STREET, 4C"", ,10010,0,0,0, -  , -  ,1930,2,D4,321500,2017-05-12 00:00:00"
"3321,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,902,9, ,D4,""207 EAST 21ST STREET, 5A"", ,10010,0,0,0, -  , -  ,1930,2,D4,565000,2017-07-14 00:00:00"
"3322,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,904,50, ,D4,""200 EAST 24TH STREET, 806"", ,10010,0,0,0, -  , -  ,1972,2,D4,1090000,2016-11-21 00:00:00"
"3323,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,904,50, ,D4,""200 EAST 24TH STREET, 507"", ,10010,0,0,0, -  , -  ,1972,2,D4,599000,2016-12-12 00:00:00"
"3324,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,904,50, ,D4,""200 EAST 24TH STREET, 609"", ,10010,0,0,0, -  , -  ,1972,2,D4,685000,2017-01-05 00:00:00"
"3325,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,904,50, ,D4,""200 EAST 24TH STREET, 903"", ,10010,0,0,0, -  , -  ,1972,2,D4,665000,2017-05-11 00:00:00"
"3326,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,904,50, ,D4,""200 EAST 24TH STREET, 807"", ,10010,0,0,0, -  , -  ,1972,2,D4,424557,2017-05-25 00:00:00"
"3327,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,904,50, ,D4,""200 EAST 24TH STREET, 602"", ,10010,0,0,0, -  , -  ,1972,2,D4,680000,2017-07-20 00:00:00"
"3328,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,904,50, ,D4,""200 EAST 24TH STREET, 1606"", ,10010,0,0,0, -  , -  ,1972,2,D4,995000,2017-07-25 00:00:00"
"3329,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,904,50, ,D4,""200 EAST 24TH STREET, 505"", ,10010,0,0,0, -  , -  ,1972,2,D4,672500,2017-07-27 00:00:00"
"3330,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,904,50, ,D4,""200 EAST 24TH STREET, 1609"", ,10010,0,0,0, -  , -  ,1972,2,D4,717500,2017-08-15 00:00:00"
"3331,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,6, ,D4,""215 EAST 24TH STREET, 523"", ,10010,0,0,0, -  , -  ,1976,2,D4,420000,2016-09-15 00:00:00"
"3332,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,6, ,D4,""215 EAST 24TH STREET, 506"", ,10010,0,0,0, -  , -  ,1976,2,D4,607000,2017-01-12 00:00:00"
"3333,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,6, ,D4,""205 EAST 24TH   STREET, 712"", ,10010,0,0,0, -  , -  ,1976,2,D4,425000,2017-02-09 00:00:00"
"3334,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,6, ,D4,""215 EAST 24TH STREET, 226/7"", ,10010,0,0,0, -  , -  ,1976,2,D4,1698000,2017-05-24 00:00:00"
"3335,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,6, ,D4,""215 EAST 24TH STREET, 103"", ,10010,0,0,0, -  , -  ,1976,2,D4,642000,2017-06-07 00:00:00"
"3336,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,6, ,D4,""215 EAST 24TH STREET, 625"", ,10010,0,0,0, -  , -  ,1976,2,D4,1810000,2017-06-05 00:00:00"
"3337,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,6, ,D4,""215 EAST 24TH STREET, 307"", ,10010,0,0,0, -  , -  ,1976,2,D4,775000,2017-06-30 00:00:00"
"3338,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""245 EAST 24TH STREET, 7H"", ,10010,0,0,0, -  , -  ,1963,2,D4,489000,2016-10-20 00:00:00"
"3339,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""245 E 24 STREET, 6D"", ,10010,0,0,0, -  , -  ,1963,2,D4, -  ,2016-12-07 00:00:00"
"3340,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""245 EAST 24TH STREET, 10B"", ,10010,0,0,0, -  , -  ,1963,2,D4,520000,2016-12-14 00:00:00"
"3341,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""245 EAST 24TH STREET, 4B"", ,10010,0,0,0, -  , -  ,1963,2,D4,459250,2016-12-06 00:00:00"
"3342,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""421 2 AVENUE, 2J"", ,10010,0,0,0, -  , -  ,1963,2,D4,449000,2017-01-23 00:00:00"
"3343,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""245 EAST 24TH ST., 2L"", ,10010,0,0,0, -  , -  ,1963,2,D4,499000,2017-02-02 00:00:00"
"3344,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""245 EAST 24TH STREET, 12G"", ,10010,0,0,0, -  , -  ,1963,2,D4, -  ,2017-03-07 00:00:00"
"3345,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""245 EAST 24TH STREET, 5C"", ,10010,0,0,0, -  , -  ,1963,2,D4,479999,2017-03-17 00:00:00"
"3346,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""245 EAST 24TH STREET, 16B"", ,10010,0,0,0, -  , -  ,1963,2,D4, -  ,2017-03-17 00:00:00"
"3347,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,905,26, ,D4,""245 EAST 24TH STREET, 16B"", ,10010,0,0,0, -  , -  ,1963,2,D4, -  ,2017-03-17 00:00:00"
"3348,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,906,1, ,D4,""201 EAST 25TH   STREET, 7F"", ,10010,0,0,0, -  , -  ,1965,2,D4,779000,2016-12-21 00:00:00"
"3349,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,906,1, ,D4,""201 EAST 25TH STREET, 17G"", ,10010,0,0,0, -  , -  ,1965,2,D4,737000,2017-01-30 00:00:00"
"3350,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,906,1, ,D4,""201 EAST 25TH STREET, 10H"", ,10010,0,0,0, -  , -  ,1965,2,D4,1350000,2017-02-22 00:00:00"
"3351,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,906,1, ,D4,""201 EAST 25TH STREET, 19-D"", ,10010,0,0,0, -  , -  ,1965,2,D4,1440000,2017-01-12 00:00:00"
"3352,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,906,1, ,D4,""201 EAST 25TH STREET, 9E"", ,10010,0,0,0, -  , -  ,1965,2,D4,780000,2017-08-10 00:00:00"
"3353,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,906,24, ,D4,""245 EAST 25TH STREET, 9A"", ,10010,0,0,0, -  , -  ,1964,2,D4,800000,2017-01-13 00:00:00"
"3354,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,906,24, ,D4,""245 EAST 25TH STREET, 10K"", ,10010,0,0,0, -  , -  ,1964,2,D4,749000,2017-03-06 00:00:00"
"3355,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 8GHJ"", ,10016,0,0,0, -  , -  ,1965,2,D4,1825000,2016-09-09 00:00:00"
"3356,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 6N"", ,10016,0,0,0, -  , -  ,1965,2,D4,532000,2016-10-07 00:00:00"
"3357,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 11W"", ,10016,0,0,0, -  , -  ,1965,2,D4,576543,2016-10-18 00:00:00"
"3358,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 10R"", ,10016,0,0,0, -  , -  ,1965,2,D4,1422500,2016-10-31 00:00:00"
"3359,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 10F"", ,10016,0,0,0, -  , -  ,1965,2,D4,1375000,2016-11-16 00:00:00"
"3360,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH   STREET, 1E"", ,10016,0,0,0, -  , -  ,1965,2,D4,690000,2016-12-19 00:00:00"
"3361,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 15H"", ,10016,0,0,0, -  , -  ,1965,2,D4,545000,2017-02-21 00:00:00"
"3362,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 E 27TH STREET, 16F"", ,10016,0,0,0, -  , -  ,1965,2,D4,835000,2017-02-28 00:00:00"
"3363,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 5S"", ,10016,0,0,0, -  , -  ,1965,2,D4,435500,2017-03-03 00:00:00"
"3364,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 6J"", ,10016,0,0,0, -  , -  ,1965,2,D4,465000,2017-04-06 00:00:00"
"3365,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 12A"", ,10016,0,0,0, -  , -  ,1965,2,D4,495000,2017-03-22 00:00:00"
"3366,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH   STREET, 6L"", ,10016,0,0,0, -  , -  ,1965,2,D4,655000,2017-05-08 00:00:00"
"3367,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 1H"", ,10016,0,0,0, -  , -  ,1965,2,D4,849000,2017-05-31 00:00:00"
"3368,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,907,56, ,D4,""200 EAST 27TH STREET, 7F"", ,10016,0,0,0, -  , -  ,1965,2,D4,1240000,2017-08-15 00:00:00"
"3369,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,908,37, ,D4,""236 EAST 28TH   STREET, 6B"", ,10016,0,0,0, -  , -  ,1920,2,D4,560000,2016-10-19 00:00:00"
"3370,1,GRAMERCY,10 COOPS - ELEVATOR APARTMENTS             ,2,908,47, ,D4,""208 EAST 28TH STREET, 3L"", ,10016,0,0,0, -  , -  ,1940,2,D4,420810,2017-08-31 00:00:00"
3371,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1027, ,R4,1 IRVING PLACE,P7B,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-04-10 00:00:00
3372,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1030, ,R4,1 IRVING PLACE,P10B,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2016-09-28 00:00:00
3373,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1031, ,R4,1 IRVING PLACE,P11B,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-02-06 00:00:00
3374,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1033, ,R4,10 UNION SQUARE EAST,P14B,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2016-10-06 00:00:00
3375,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1033, ,R4,10 UNION SQUARE EAST,P14B,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2016-10-06 00:00:00
3376,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1051, ,R4,1 IRVING PLACE,P10C,10003,1,0,1, -  , -  ,1987,2,R4,2500000,2017-05-15 00:00:00
3377,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1073, ,R4,1 IRVING PLACE,P10D,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-05-15 00:00:00
3378,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1081, ,R4,1 IRVING PLACE,P19D,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2016-09-22 00:00:00
3379,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1082, ,R4,1 IRVING PLACE,P20D,10003,1,0,1, -  , -  ,1987,2,R4,1150000,2017-03-17 00:00:00
3380,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1085, ,R4,1 IRVING PLACE,P23D,10003,1,0,1, -  , -  ,1987,2,R4,2430000,2017-07-05 00:00:00
3381,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1105, ,R4,1 IRVING PLACE,P21E,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-08-17 00:00:00
3382,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1110, ,R4,1 IRVING PLACE,P11F,10003,1,0,1, -  , -  ,1987,2,R4,1465000,2017-01-27 00:00:00
3383,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1119, ,R4,1 IRVING PLACE,P21FG,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-08-17 00:00:00
3384,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1169, ,R4,1 IRVING PLACE,P8N,10003,1,0,1, -  , -  ,1987,2,R4,1152500,2016-11-11 00:00:00
3385,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1255, ,R4,1 IRVING PLACE,G16D,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2016-09-08 00:00:00
3386,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1277, ,R4,1 IRVING PLACE,G16E,10003,1,0,1, -  , -  ,1987,2,R4,1350000,2017-08-24 00:00:00
3387,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1286, ,R4,1 IRVING PLACE,G11F,10003,1,0,1, -  , -  ,1987,2,R4,1275000,2017-02-06 00:00:00
3388,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1294, ,R4,1 IRVING PLACE,G8G,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2016-12-29 00:00:00
3389,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1343, ,R4,1 IRVING PLACE,U12A,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-01-05 00:00:00
3390,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1346, ,R4,1 IRVING PLACE,U16A,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-03-28 00:00:00
3391,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1381, ,R4,1 IRVING PLACE,U7C,10003,1,0,1, -  , -  ,1987,2,R4,1198000,2016-10-05 00:00:00
3392,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1422, ,R4,1 IRVING PLACE,U27D,10003,1,0,1, -  , -  ,1987,2,R4,2450000,2017-06-08 00:00:00
3393,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1429, ,R4,1 IRVING PLACE,U11E,10003,1,0,1, -  , -  ,1987,2,R4,1187500,2017-07-11 00:00:00
3394,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1444, ,R4,1 IRVING PLACE,U12F,10003,1,0,1, -  , -  ,1987,2,R4,1350000,2016-10-18 00:00:00
3395,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1448, ,R4,1 IRVING PLACE,U17F,10003,1,0,1, -  , -  ,1987,2,R4,410000,2016-11-01 00:00:00
3396,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1454, ,R4,1 IRVING PLACE,8/G,10003,1,0,1, -  , -  ,1987,2,R4,770000,2017-03-02 00:00:00
3397,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1466, ,R4,1 IRVING PLACE,U9H,10003,1,0,1, -  , -  ,1987,2,R4,780000,2017-03-31 00:00:00
3398,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1472, ,R4,1 IRVING PLACE,U16H,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2016-10-20 00:00:00
3399,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1472, ,R4,1 IRVING PLACE,U16H,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2016-10-06 00:00:00
3400,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1479, ,R4,1 IRVING PLACE,U8I,10003,1,0,1, -  , -  ,1987,2,R4,355000,2017-01-18 00:00:00
3401,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1488, ,R4,1 IRVING PLACE,U18I,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-08-17 00:00:00
3402,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1529, ,R4,1 IRVING PLACE,V19B,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-08-17 00:00:00
3403,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1558, ,R4,1 IRVING PLACE,V27C,10003,1,0,1, -  , -  ,1987,2,R4,1230000,2017-04-13 00:00:00
3404,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1585, ,R4,1 IRVING PLACE,V9E,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-07-14 00:00:00
3405,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1586, ,R4,1 IRVING PLACE,V10E,10003,1,0,1, -  , -  ,1987,2,R4,1190000,2017-06-26 00:00:00
3406,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1599, ,R4,1 IRVING PLACE,V9FG,10003,1,0,1, -  , -  ,1987,2,R4,4125000,2017-07-14 00:00:00
3407,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1625, ,R4,1 IRVING PLACE,V11H,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2017-06-15 00:00:00
3408,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1637, ,R4,1 IRVING PLACE,V9I,10003,1,0,1, -  , -  ,1987,2,R4, -  ,2016-12-20 00:00:00
3409,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,870,1645, ,R4,1 IRVING PLACE,V18I,10003,1,0,1, -  , -  ,1987,2,R4,362500,2017-07-27 00:00:00
3410,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,875,1203, ,R4,18 GRAMERCY PARK SOUTH,3,10003,1,0,1, -  , -  ,1927,2,R4, -  ,2016-11-18 00:00:00
3411,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,875,1203, ,R4,18 GRAMERCY PARK SOUTH,3,10003,1,0,1, -  , -  ,1927,2,R4,13000000,2016-09-09 00:00:00
3412,1,GRAMERCY,13 CONDOS - ELEVATOR APARTMENTS            ,2,875,1215, ,R4,18 GRAMERCY PARK SOUTH,16,10003,1,0,1, -  , -  ,1927,2,R4,15750000,2017-07-27 00:00:00
